date,cummulative_ice_mass_change
2002-04-16,0.0
2002-05-08,67.36
2002-08-14,-219.73
2002-09-16,-242.79
2002-10-15,-207.56
2002-11-13,-210.72
2002-12-16,-193.61
2003-01-15,-147.27
2003-02-13,-156.73
2003-03-14,-91.11
2003-04-16,-45.43
2003-05-12,-38.22
2003-07-16,-215.04
2003-08-14,-350.92
2003-09-16,-393.05
2003-10-15,-390.32
2003-11-13,-393.16
2003-12-16,-352.75
2004-01-08,-376.85
2004-02-17,-383.96
2004-03-17,-361.37
2004-04-15,-299.68
2004-05-14,-315.99
2004-06-16,-335.58
2004-07-15,-432.9
2004-08-13,-557.96
2004-09-15,-598.28
2004-10-14,-617.86
2004-11-12,-575.39
2004-12-15,-551.08
2005-01-15,-565.55
2005-02-13,-543.51
2005-03-14,-497.31
2005-04-16,-490.26
2005-05-15,-452.66
2005-06-17,-500.73
2005-07-16,-630.03
2005-08-14,-819.21
2005-09-16,-885.81
2005-10-15,-875.86
2005-11-13,-873.97
2005-12-16,-824.38
2006-01-15,-847.16
2006-02-13,-799.01
2006-03-14,-777.21
2006-04-16,-802.83
2006-05-15,-791.92
2006-06-13,-803.74
2006-07-16,-889.76
2006-08-14,-1016.69
2006-09-16,-1077.39
2006-10-15,-1064.33
2006-11-13,-1092.02
2006-12-16,-1100.83
2007-01-15,-1067.75
2007-02-13,-1025.73
2007-03-14,-1035.79
2007-04-16,-1021.01
2007-05-15,-1009.11
2007-06-13,-1029.18
2007-07-16,-1159.4
2007-08-14,-1356.28
2007-09-16,-1418.89
2007-10-15,-1445.48
2007-11-13,-1422.46
2007-12-16,-1362.58
2008-01-15,-1323.4
2008-02-13,-1342.23
2008-03-17,-1286.54
2008-04-15,-1306.34
2008-05-14,-1320.23
2008-06-16,-1323.29
2008-07-15,-1471.46
2008-08-13,-1631.94
2008-09-15,-1696.88
2008-10-14,-1685.22
2008-11-12,-1609.54
2008-12-15,-1538.42
2009-01-15,-1519.06
2009-02-13,-1564.83
2009-03-14,-1564.61
2009-04-16,-1544.46
2009-05-15,-1526.97
2009-06-17,-1535.04
2009-07-16,-1644.76
2009-08-14,-1854.3
2009-09-16,-1907.63
2009-10-15,-1880.79
2009-11-13,-1865.61
2009-12-16,-1841.35
2010-01-15,-1843.34
2010-02-13,-1824.76
2010-03-14,-1812.99
2010-04-16,-1834.85
2010-05-15,-1802.46
2010-06-13,-1909.66
2010-07-16,-2085.89
2010-08-14,-2279.75
2010-09-16,-2377.78
2010-10-15,-2342.03
2010-11-13,-2360.28
2010-12-13,-2342.16
2011-02-17,-2320.99
2011-03-14,-2305.18
2011-04-16,-2300.2
2011-05-15,-2321.03
2011-07-16,-2511.1
2011-08-14,-2705.17
2011-09-16,-2761.48
2011-10-15,-2785.22
2011-10-30,-2784.61
2012-01-01,-2724.13
2012-01-15,-2734.11
2012-02-13,-2715.61
2012-03-17,-2668.98
2012-04-04,-2660.26
2012-06-16,-2687.85
2012-07-15,-2919.26
2012-08-13,-3229.83
2012-09-11,-3331.6
2012-11-16,-3265.5
2012-12-15,-3249.92
2013-01-15,-3247.7
2013-02-13,-3238.28
2013-04-20,-3235.48
2013-05-15,-3199.4
2013-06-17,-3182.04
2013-07-16,-3293.79
2013-10-15,-3357.41
2013-11-13,-3357.09
2013-12-16,-3346.03
2014-01-08,-3330.83
2014-03-14,-3277.08
2014-04-16,-3265.7
2014-05-15,-3266.2
2014-06-13,-3304.76
2014-08-14,-3588.66
2014-09-16,-3625.93
2014-10-15,-3610.43
2014-11-17,-3605.96
2015-01-22,-3521.19
2015-02-13,-3526.16
2015-03-14,-3481.12
2015-04-16,-3472.05
2015-04-27,-3469.94
2015-07-13,-3655.34
2015-08-14,-3791.52
2015-09-12,-3826.58
2015-12-23,-3769.68
2016-01-15,-3715.2
2016-02-13,-3737.06
2016-03-17,-3735.75
2016-05-18,-3703.66
2016-06-16,-3699.96
2016-07-15,-3873.29
2016-08-21,-4123.67
2016-11-27,-3999.74
2016-12-22,-4067.39
2017-01-22,-4014.72
2017-04-02,-4005.26
2017-04-23,-3971.53
2017-05-12,-3965.31
2017-06-10,-3996.01
2018-06-13,-4044.73
2018-07-09,-4068.52
2018-10-30,-4208.21
2018-11-13,-4174.1
2018-12-16,-4185.13
2019-01-15,-4189.73
2019-02-13,-4215.57
2019-03-14,-4236.37
2019-04-16,-4220.73
2019-05-15,-4202.47
2019-06-13,-4258.24
2019-07-16,-4460.52
2019-08-14,-4689.86
2019-09-16,-4782.31
2019-10-15,-4766.75
2019-11-13,-4724.37
2019-12-16,-4728.73
2020-01-15,-4766.34
2020-02-13,-4720.7
2020-03-17,-4755.45
2020-04-15,-4745.64
2020-05-14,-4718.49
2020-06-16,-4755.85
2020-07-15,-4909.8
2020-08-13,-4991.28
2020-09-15,-4996.08
2020-10-14,-4928.75
2020-11-12,-4922.26
2020-12-15,-4899.46
